Project Oxford: Adding Smart to Your Applications,200 - Intermediate,"Harry Shum, Ryan Galgon",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-613
Project Spartan: Introducing the New Browser and Web App Platform for Windows 10,Web Platform,"Charles Morris, Sean Lyndersay",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-656
".NET Compiler Platform (""Roslyn""): Analyzers and the Rise of Code-Aware Libraries",".NET, C#",Dustin Campbell,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-725
.NET Open Source Initiative,.NET,"Beth Massi, Immo Landwerth, Jay Schmelzer, Martin Woodward, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-15
“PROJECT ASTORIA“: Build Great Windows Apps with Your Android Code,200 - Intermediate,"John Justice, Rajesh Sundaram",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-702
A Lap Around .NET 2015,.NET,Jay Schmelzer,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-614
A Studio in the Palm of Your Hand: Developing Audio and Video Creation Apps for Windows 10,Media,"Bala Sivakumar, Daniele Bosa, David Lorenzin, Jason Olson",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-634
Abiola from Gamsole,,"Abiola Onaliran, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-23
Acquiring Users and Monetizing Your Apps,"Application Insights, Monetization, Store","Inigo Lopez, James Oleinik",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-736
Advanced DirectX12 Graphics and Performance,"Game Development, Graphics",Max McMullen,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-673
Agile Development in Practice: Tips and Tricks for Modernized Development Cycle,200 - Intermediate,David Ebbo,4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-620
All That is New in the Windows Store,Store,"Adrian Maziak, Ashish Babbar",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-664
All Things Azure,200 - Intermediate,"Mark Russinovich, Seth Juarez",4/30/2015,http://channel9.msdn.com/Events/Build/2015/C9-03
"AllJoyn: Building Universal Windows Apps that Discover, Connect, and Interact with Other Devices and…","Internet of Things, IoT","Brian Rockwell, Gavin Gear",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-623
ANGLE: Running OpenGL ES 2.0 Graphics Code on Windows,"Cross-Platform Development, Game Development, Graphics","Alison Stroll, Tony Balogh",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-686
API Contracts (or How I Learned to Stop Checking OS Versions and Love Feature Detection),300 - Experienced,Brent Rector,4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-733
App Lifecycle: From Activation and Suspension to Background Execution and Multitasking in Universal…,App Model,"John Vintzel, Shawn Henry",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-626
App Packaging and Deployment for Universal Windows Apps,App Model,"Barclay Hill, Jason Salameh",4/30/2015,http://channel9.msdn.com/Events/Build/2015/2-695
Application Insights for Any App: A Must-Have Tool for Understanding Your Customers,"Application Insights, DevOps","Dale Koetke, Darren Jefford",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-624
App-to-App Communication: Building a Web of Apps,App Model,"Arunjeet Singh, Sandeep Mathew George",4/30/2015,http://channel9.msdn.com/Events/Build/2015/3-765
